,Comparison_1,Comparison_2,GPT,Human,Difference
99,ROUND,DICE,30.0,12.75,17.25
100,ROUND,MAPLE,10.0,24.166666666666668,-14.166666666666668
101,ROUND,SHAKESPEARE,10.0,0.0,10.0
102,ROUND,PHOENIX,10.0,10.75,-0.75
103,ROUND,BARK,10.0,10.25,-0.25
104,ROUND,JET,15.0,15.5,-0.5
105,ROUND,WATCH,60.0,63.6,-3.6000000000000014
106,ROUND,PIE,70.0,82.25,-12.25
107,ROUND,ORGAN,15.0,17.142857142857142,-2.1428571428571423
108,COSTUMED,RING,20.0,43.5,-23.5
109,COSTUMED,TICK,10.0,3.4,6.6
110,COSTUMED,VACUUM,10.0,2.6666666666666665,7.333333333333334
111,COSTUMED,RAY,10.0,7.0,3.0
112,COSTUMED,NAIL,10.0,9.75,0.25
113,COSTUMED,HOOD,70.0,70.2,-0.20000000000000284
114,COSTUMED,ATLANTIS,15.0,40.5,-25.5
115,COSTUMED,PAPER,10.0,33.8,-23.799999999999997
116,COSTUMED,FALL,30.0,24.166666666666668,5.833333333333332
117,COSTUMED,SUPERHERO,90.0,65.5,24.5
118,COSTUMED,SOCK,20.0,34.0,-14.0
119,COSTUMED,CHAIR,10.0,19.77777777777778,-9.777777777777779
120,MUSIC,CAST,35.0,26.0,9.0
121,MUSIC,MATCH,20.0,25.5,-5.5
122,MUSIC,POOL,20.0,26.5,-6.5
123,MUSIC,BUGLE,85.0,95.33333333333333,-10.333333333333329
124,MUSIC,RULER,10.0,12.6,-2.5999999999999996
125,MUSIC,RAY,15.0,31.0,-16.0
126,MUSIC,PART,30.0,38.6,-8.600000000000001
127,MUSIC,SLUG,5.0,5.2727272727272725,-0.2727272727272725
128,MUSIC,LITTER,5.0,0.0,5.0
129,MUSIC,CONCERT,100.0,91.5,8.5
130,MUSIC,CHAIR,10.0,39.75,-29.75
131,MUSIC,FRANCE,30.0,41.666666666666664,-11.666666666666664
132,MYTHICAL,LOCH NESS,85.0,65.0,20.0
133,MYTHICAL,SPY,20.0,24.6,-4.600000000000001
134,MYTHICAL,TOWER,20.0,27.833333333333332,-7.833333333333332
135,MYTHICAL,OIL,10.0,3.5714285714285716,6.428571428571429
136,MYTHICAL,GAME,30.0,60.666666666666664,-30.666666666666664
137,MYTHICAL,TEMPLE,70.0,70.4,-0.4000000000000057
138,MYTHICAL,ANGEL,85.0,88.33333333333333,-3.3333333333333286
139,MYTHICAL,SHIP,20.0,20.428571428571427,-0.42857142857142705
140,MYTHICAL,AGENT,15.0,7.5,7.5
141,MYTHICAL,WEB,15.0,35.714285714285715,-20.714285714285715
142,MYTHICAL,AMAZON,60.0,41.5,18.5
143,MYTHICAL,BUG,10.0,12.666666666666666,-2.666666666666666
144,DISHWARE,SNOW,10.0,2.75,7.25
145,DISHWARE,GLASS,90.0,86.8,3.200000000000003
146,DISHWARE,SINK,85.0,86.2,-1.2000000000000028
147,DISHWARE,MOUSE,10.0,28.666666666666668,-18.666666666666668
148,DISHWARE,LEPRECHAUN,10.0,1.5,8.5
149,DISHWARE,PLATE,100.0,99.6,0.4000000000000057
150,DISHWARE,JUPITER,5.0,2.2857142857142856,2.7142857142857144
151,DISHWARE,SERVER,35.0,76.5,-41.5
152,DISHWARE,TIE,10.0,6.666666666666667,3.333333333333333
153,DISHWARE,PLASTIC,85.0,33.6,51.4
154,DISHWARE,BILL,10.0,13.666666666666666,-3.666666666666666
155,FOOD,PLASTIC,20.0,28.6,-8.600000000000001
156,FOOD,LEMON,85.0,96.66666666666667,-11.666666666666671
157,FOOD,HELICOPTER,10.0,2.8,7.2
158,FOOD,CHICK,70.0,41.714285714285715,28.285714285714285
159,FOOD,FORCE,15.0,15.0,0.0
160,FOOD,FAN,15.0,21.2,-6.199999999999999
161,FOOD,CYCLE,15.0,39.666666666666664,-24.666666666666664
162,FOOD,SPRING,20.0,39.375,-19.375
163,FOOD,TEMPLE,20.0,11.0,9.0
164,FOOD,GRASS,70.0,31.625,38.375
165,FOOD,TAP,20.0,25.0,-5.0
166,FOOD,CHOCOLATE,100.0,79.5,20.5
167,PLANT,OLIVE,85.0,73.0,12.0
168,PLANT,ALPS,20.0,41.333333333333336,-21.333333333333336
169,PLANT,TELESCOPE,15.0,49.75,-34.75
170,PLANT,PALM,90.0,69.4,20.599999999999994
171,PLANT,CONCERT,10.0,9.0,1.0
172,PLANT,DECK,30.0,30.375,-0.375
173,PLANT,SCHOOL,15.0,11.8,3.1999999999999993
174,PLANT,SERVER,15.0,3.6,11.4
175,PLANT,ROOT,100.0,94.4,5.599999999999994
176,PLANT,BOMB,20.0,13.0,7.0
177,PLANT,AFRICA,30.0,53.0,-23.0
178,PLANT,KIWI,70.0,56.5,13.5
179,MAMMAL,WATCH,5.0,12.666666666666666,-7.666666666666666
180,MAMMAL,LINK,5.0,4.0,1.0
181,MAMMAL,STATE,10.0,6.333333333333333,3.666666666666667
182,MAMMAL,SHADOW,10.0,23.285714285714285,-13.285714285714285
183,MAMMAL,WHIP,5.0,3.0,2.0
184,MAMMAL,PASTE,5.0,6.75,-1.75
185,MAMMAL,SHAKESPEARE,5.0,12.428571428571429,-7.428571428571429
186,MAMMAL,WITCH,20.0,30.0,-10.0
187,MAMMAL,DEGREE,10.0,15.181818181818182,-5.181818181818182
188,MAMMAL,UNICORN,70.0,44.5,25.5
189,MAMMAL,GRACE,10.0,31.0,-21.0
190,MAMMAL,MAPLE,10.0,6.0,4.0
191,LOUD,SPINE,10.0,19.5,-9.5
192,LOUD,POUND,15.0,31.8,-16.8
193,LOUD,SOUND,90.0,95.0,-5.0
194,LOUD,BOOM,85.0,81.25,3.75
195,LOUD,MOLE,10.0,0.75,9.25
196,LOUD,WAKE,30.0,43.857142857142854,-13.857142857142854
197,LOUD,BRUSH,10.0,18.5,-8.5
198,LOUD,HORSE,15.0,22.0,-7.0
199,LOUD,OIL,10.0,5.25,4.75
200,LOUD,PUMPKIN,10.0,1.6666666666666667,8.333333333333334
201,LOUD,TABLET,15.0,78.0,-63.0
202,LOUD,PISTOL,70.0,63.5,6.5
203,SKULL,PALM,10.0,32.8,-22.799999999999997
204,SKULL,CELL,20.0,34.0,-14.0
205,SKULL,CZECH,10.0,1.3333333333333333,8.666666666666666
206,SKULL,LOG,10.0,2.6,7.4
207,SKULL,SPRING,5.0,4.555555555555555,0.44444444444444464
208,SKULL,CRASH,20.0,41.375,-21.375
209,SKULL,SHADOW,20.0,44.111111111111114,-24.111111111111114
210,SKULL,STOCK,10.0,5.0,5.0
211,SKULL,DEATH,85.0,84.0,1.0
212,SKULL,WASHINGTON,10.0,7.0,3.0
213,SKULL,SLIP,10.0,16.8,-6.800000000000001
214,FASHION,SEAL,10.0,12.428571428571429,-2.428571428571429
215,FASHION,SWITCH,15.0,30.666666666666668,-15.666666666666668
216,FASHION,FLY,15.0,19.8,-4.800000000000001
217,FASHION,BUCK,15.0,8.818181818181818,6.181818181818182
218,FASHION,SUIT,85.0,61.0,24.0
219,FASHION,LEAD,20.0,26.142857142857142,-6.142857142857142
220,FASHION,TOKYO,70.0,58.0,12.0
221,FASHION,BANK,15.0,36.0,-21.0
222,FASHION,STRING,30.0,39.875,-9.875
223,FASHION,LOCH NESS,5.0,10.333333333333334,-5.333333333333334
224,FASHION,NEW YORK,80.0,75.0,5.0
225,FASHION,JET,15.0,0.0,15.0
226,GALAXY,JUPITER,70.0,92.75,-22.75
227,GALAXY,LAP,5.0,1.6,3.4
228,GALAXY,COURT,5.0,1.0,4.0
229,GALAXY,OIL,5.0,6.5,-1.5
230,GALAXY,STAR,90.0,94.1,-4.099999999999994
231,GALAXY,BAND,15.0,17.75,-2.75
232,GALAXY,STADIUM,10.0,17.333333333333332,-7.333333333333332
233,GALAXY,FIELD,20.0,20.5,-0.5
234,GALAXY,PITCH,10.0,1.4,8.6
235,GALAXY,SPACE,100.0,97.5,2.5
236,GALAXY,RAY,70.0,41.666666666666664,28.333333333333336
237,GALAXY,BOLT,10.0,6.5,3.5
238,BIRD,NEW YORK,10.0,47.0,-37.0
239,BIRD,SNOWMAN,20.0,4.25,15.75
240,BIRD,ROBIN,100.0,99.4,0.5999999999999943
241,BIRD,POOL,10.0,22.333333333333332,-12.333333333333332
242,BIRD,STRING,20.0,8.166666666666666,11.833333333333334
243,BIRD,IVORY,20.0,37.0,-17.0
244,BIRD,FACE,15.0,38.0,-23.0
245,BIRD,WHALE,30.0,32.666666666666664,-2.6666666666666643
246,BIRD,FOOT,15.0,60.5,-45.5
247,BIRD,MOSCOW,10.0,4.909090909090909,5.090909090909091
248,BIRD,DUCK,100.0,90.83333333333333,9.166666666666671
249,BIRD,PARK,65.0,87.0,-22.0
250,FOUR,CAPITAL,5.0,12.714285714285714,-7.7142857142857135
251,FOUR,ANTARCTICA,5.0,6.333333333333333,-1.333333333333333
252,FOUR,LIGHT,5.0,4.5,0.5
253,FOUR,CODE,10.0,20.22222222222222,-10.222222222222221
254,FOUR,SATURN,5.0,6.5,-1.5
255,FOUR,WEB,10.0,5.25,4.75
256,FOUR,MODEL,10.0,19.5,-9.5
257,FOUR,DICE,70.0,54.666666666666664,15.333333333333336
258,FOUR,DUCK,5.0,14.0,-9.0
259,FOUR,BERRY,5.0,6.0,-1.0
260,FOUR,HELICOPTER,5.0,21.857142857142858,-16.857142857142858
261,FOUR,SHADOW,5.0,1.8,3.2
262,ACTOR,STAR,85.0,88.6,-3.5999999999999943
263,ACTOR,SHADOW,30.0,57.5,-27.5
264,ACTOR,RULER,10.0,12.2,-2.1999999999999993
265,ACTOR,POUND,10.0,33.5,-23.5
266,ACTOR,CRANE,10.0,5.444444444444445,4.555555555555555
267,ACTOR,AMERICA,30.0,27.6,2.3999999999999986
268,ACTOR,STRING,15.0,25.0,-10.0
269,ACTOR,PENGUIN,10.0,2.7777777777777777,7.222222222222222
270,ACTOR,LAP,10.0,0.4,9.6
271,ACTOR,THEATER,100.0,91.0,9.0
272,ACTOR,LINK,20.0,3.25,16.75
273,DEADLY,BOX,10.0,19.0,-9.0
274,DEADLY,ALPS,10.0,22.0,-12.0
275,DEADLY,CRANE,10.0,45.333333333333336,-35.333333333333336
276,DEADLY,PISTOL,80.0,81.5,-1.5
277,DEADLY,HORN,20.0,26.0,-6.0
278,DEADLY,SPOT,15.0,34.4,-19.4
279,DEADLY,HOOK,20.0,33.4,-13.399999999999999
280,DEADLY,CRASH,80.0,78.1,1.9000000000000057
281,DEADLY,MOON,10.0,2.3333333333333335,7.666666666666666
282,DEADLY,SHOP,10.0,21.333333333333332,-11.333333333333332
283,DEADLY,MAPLE,10.0,4.2,5.8
284,DEADLY,POISON,90.0,81.0,9.0
285,HOLLYWOOD,GRACE,20.0,21.25,-1.25
286,HOLLYWOOD,APPLE,10.0,6.714285714285714,3.2857142857142856
287,HOLLYWOOD,SHAKESPEARE,40.0,58.142857142857146,-18.142857142857146
288,HOLLYWOOD,SERVER,15.0,20.071428571428573,-5.071428571428573
289,HOLLYWOOD,IVORY,15.0,15.5,-0.5
290,HOLLYWOOD,EMBASSY,15.0,18.25,-3.25
291,HOLLYWOOD,SWITCH,15.0,11.2,3.8000000000000007
292,HOLLYWOOD,AGENT,85.0,62.0,23.0
293,HOLLYWOOD,FILM,90.0,100.0,-10.0
294,HOLLYWOOD,WELL,20.0,2.5,17.5
295,HOLLYWOOD,BEAR,20.0,39.0,-19.0
296,HOLLYWOOD,NEEDLE,5.0,0.0,5.0
297,CHANCES,DATE,40.0,29.8,10.2
298,CHANCES,PISTOL,20.0,5.5,14.5
299,CHANCES,MUG,10.0,11.0,-1.0
300,CHANCES,DICE,85.0,72.25,12.75
301,CHANCES,STAR,20.0,25.571428571428573,-5.571428571428573
302,CHANCES,HOOD,15.0,6.25,8.75
303,CHANCES,POOL,30.0,0.0,30.0
304,CHANCES,TOKYO,10.0,19.428571428571427,-9.428571428571427
305,CHANCES,GREECE,10.0,0.16666666666666666,9.833333333333334
306,CHANCES,CODE,20.0,38.285714285714285,-18.285714285714285
307,CHANCES,HEAD,20.0,27.8,-7.800000000000001
308,YELLOW,PLOT,5.0,5.2,-0.20000000000000018
309,YELLOW,MOUNT,15.0,7.0,8.0
310,YELLOW,BUTTON,20.0,16.75,3.25
311,YELLOW,LEMON,90.0,81.75,8.25
312,YELLOW,PLATYPUS,10.0,17.166666666666668,-7.166666666666668
313,YELLOW,HAND,10.0,1.25,8.75
314,YELLOW,THIEF,5.0,6.75,-1.75
315,YELLOW,BUGLE,15.0,26.666666666666668,-11.666666666666668
316,YELLOW,YARD,10.0,44.5,-34.5
317,YELLOW,STAR,60.0,80.0,-20.0
318,YELLOW,ROBIN,30.0,16.2,13.8
319,YELLOW,STAFF,5.0,8.5,-3.5
320,CIRCULAR,SKYSCRAPER,15.0,16.6,-1.6000000000000014
321,CIRCULAR,AGENT,15.0,12.166666666666666,2.833333333333334
322,CIRCULAR,SPRING,20.0,40.4,-20.4
323,CIRCULAR,CELL,30.0,28.5,1.5
324,CIRCULAR,ALIEN,10.0,26.4,-16.4
325,CIRCULAR,CROSS,20.0,13.0,7.0
326,CIRCULAR,ROUND,100.0,87.6,12.400000000000006
327,CIRCULAR,SEAL,15.0,23.666666666666668,-8.666666666666668
328,CIRCULAR,SLUG,10.0,13.571428571428571,-3.571428571428571
329,CIRCULAR,CHINA,10.0,23.22222222222222,-13.222222222222221
330,CIRCULAR,PLATYPUS,10.0,0.0,10.0
331,PASSPORT,TICK,10.0,15.0,-5.0
332,PASSPORT,MISSILE,15.0,9.166666666666666,5.833333333333334
333,PASSPORT,CHECK,70.0,60.5,9.5
334,PASSPORT,TOKYO,60.0,53.6,6.399999999999999
335,PASSPORT,JUPITER,5.0,1.5,3.5
336,PASSPORT,EMBASSY,85.0,95.66666666666667,-10.666666666666671
337,PASSPORT,PLATYPUS,5.0,5.833333333333333,-0.833333333333333
338,PASSPORT,FOREST,10.0,5.6,4.4
339,PASSPORT,JAM,5.0,4.75,0.25
340,PASSPORT,SERVER,10.0,8.4,1.5999999999999996
341,PASSPORT,SPELL,10.0,4.5,5.5
342,ALICE,SCALE,10.0,12.5,-2.5
343,ALICE,LOCH NESS,10.0,10.8,-0.8000000000000007
344,ALICE,AFRICA,10.0,0.6666666666666666,9.333333333333334
345,ALICE,ROUND,10.0,4.6,5.4
346,ALICE,ORGAN,5.0,7.25,-2.25
347,ALICE,PRINCESS,70.0,43.333333333333336,26.666666666666664
348,ALICE,TIME,20.0,32.5,-12.5
349,ALICE,RABBIT,85.0,90.0,-5.0
350,ALICE,PLASTIC,5.0,2.625,2.375
351,ALICE,CRASH,10.0,3.6666666666666665,6.333333333333334
352,ALICE,AZTEC,10.0,11.5,-1.5
353,ALICE,HAWK,5.0,1.6666666666666667,3.333333333333333
354,HOSPITAL,BUFFALO,10.0,1.0,9.0
355,HOSPITAL,MICROSCOPE,85.0,50.0,35.0
356,HOSPITAL,DEGREE,20.0,32.2,-12.200000000000003
357,HOSPITAL,BOMB,30.0,12.714285714285714,17.285714285714285
358,HOSPITAL,GREEN,20.0,21.8,-1.8000000000000007
359,HOSPITAL,PIRATE,15.0,3.0,12.0
360,HOSPITAL,CANADA,20.0,20.0,0.0
361,HOSPITAL,DRAGON,10.0,1.3333333333333333,8.666666666666666
362,HOSPITAL,BED,85.0,80.0,5.0
363,HOSPITAL,ROBIN,10.0,4.428571428571429,5.571428571428571
364,HOSPITAL,STAFF,90.0,83.66666666666667,6.333333333333329
365,HOSPITAL,COMIC,15.0,0.0,15.0
366,CITY,BOARD,20.0,24.333333333333332,-4.333333333333332
367,CITY,SINK,10.0,5.0,5.0
368,CITY,APPLE,15.0,18.25,-3.25
369,CITY,OLYMPUS,30.0,67.0,-37.0
370,CITY,MATCH,15.0,10.222222222222221,4.777777777777779
371,CITY,MARBLE,20.0,28.5,-8.5
372,CITY,DRAFT,15.0,14.25,0.75
373,CITY,BERLIN,100.0,84.66666666666667,15.333333333333329
374,CITY,FILM,35.0,22.75,12.25
375,CITY,NEW YORK,100.0,99.0,1.0
376,CITY,FLUTE,15.0,2.1666666666666665,12.833333333333334
377,CITY,TUBE,15.0,27.0,-12.0
378,GRAPH,PLOT,85.0,58.4,26.6
379,GRAPH,HAND,15.0,24.0,-9.0
380,GRAPH,AMAZON,20.0,19.625,0.375
381,GRAPH,BED,10.0,2.6666666666666665,7.333333333333334
382,GRAPH,WATER,10.0,21.666666666666668,-11.666666666666668
383,GRAPH,CHECK,30.0,73.0,-43.0
384,GRAPH,YARD,10.0,37.666666666666664,-27.666666666666664
385,GRAPH,CHEST,10.0,20.0,-10.0
386,GRAPH,HORSE,10.0,3.2857142857142856,6.714285714285714
387,GRAPH,CHICK,5.0,0.75,4.25
388,GRAPH,EMBASSY,10.0,2.0,8.0
389,GRAPH,BEIJING,10.0,7.125,2.875
390,SEWING,IVORY,20.0,8.4,11.6
391,SEWING,PIE,10.0,3.2,6.8
392,SEWING,TRACK,10.0,0.0,10.0
393,SEWING,WATCH,20.0,10.636363636363637,9.363636363636363
394,SEWING,COLD,10.0,2.25,7.75
395,SEWING,POINT,15.0,41.333333333333336,-26.333333333333336
396,SEWING,PIN,100.0,90.66666666666667,9.333333333333329
397,SEWING,COTTON,90.0,80.28571428571429,9.714285714285708
398,SEWING,SKYSCRAPER,10.0,1.2,8.8
399,SEWING,CANADA,10.0,3.4444444444444446,6.555555555555555
400,SEWING,BARK,10.0,7.0,3.0
401,SEWING,FORCE,10.0,0.0,10.0
